frame,master,center_lon,center_lat
014A_07524_101303,20161218, 40.6882222, 15.1033889
014A_07659_000004,20200724, 41.8375000, 13.4244444
014A_07688_131313,20180816, 41.0843889, 13.1324444
014A_07884_121313,20180816, 41.4781111, 11.1608333
014A_08068_141313,20190507, 41.8589444, 9.3256667
014D_02786_131213,20200904,-142.8345000, 62.1401667
015A_03923_131313,20190419, 8.0471111, 50.7713889
015A_04513_111313,20160901, 9.6602763, 44.8268891
015A_04723_101013,20160901, 10.1383871, 42.7837785
015A_05284_070309,20161130, 11.3984028, 37.2586805
015D_02737_110804,20200507,-167.2566745, 62.5098139
015D_02942_110000,20200507,-166.6349835, 60.5776788
015D_03772_000504,20200612,-171.5375000, 52.4420000
016A_02427_070806,20200823, -22.1233333, 65.8153333
016A_02504_162118,20201221, -21.7818333, 64.9708333
016A_02562_091313,20191103, -21.3559722, 64.2690833
016D_09376_121313,20170312, 152.1803889, -3.7471667
016D_09543_000810,20170312, 151.4071667, -5.5251667
016D_09957_141514,20170312, 150.8891667, -9.5702222
017D_05353_130400,20190829, 136.3116111, 36.8229444
017D_05514_131312,20190501, 135.4459445, 34.8600555
017D_05636_040304,20200413, 135.1677778, 33.6141111
017D_08850_021413,20170324, 128.6010000, 1.4873333
017D_09056_131314,20170324, 128.1681667, -0.5703334
017D_09822_091612,20170312, 126.5048333, -8.1988334
018A_09021_121620,20201016, -79.6138333, 0.0090555
018A_09253_131313,20190507, -79.0786667, -2.5173889
018A_09451_131313,20200724, -78.6548333, -4.5172222
018A_09652_131313,20200805, -78.2151667, -6.5137222
018A_10424_000913,20200724, -75.9952222, -14.4016667
018A_12160_000002,20200718, -70.6591667, -31.5721667
018A_12472_131313,20190107, -70.5378889, -34.7041667
018A_12668_131313,20190501, -69.8479444, -36.6681111
018A_13058_131313,20200718, -68.3568333, -40.5797778
018A_13253_131313,20200718, -67.5403333, -42.5256667
018D_03594_131313,20170306, 115.5888333, 54.0366667
018D_09287_131313,20170312, 103.0051667, -2.8858889
018D_09415_060403,20170312, 102.7070000, -4.2715556
019A_08168_171412,20201103, -81.3966667, 8.6477778
019A_08184_131312,20201103, -81.3282222, 8.3152222
019D_05022_131313,20160914, 87.1793897, 39.7603325
019D_05221_131313,20160914, 86.6806674, 37.7727801
019D_05420_131313,20160914, 86.2238343, 35.7846111
019D_05619_131313,20160914, 85.7896666, 33.7937233
019D_05818_131313,20160914, 85.3619991, 31.8013900
019D_06017_131313,20160914, 84.9432744, 29.8082783
