,frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,opass,s1ab_offset_mm4,vel4,podoff4
100,013A_05000_131313,2016-09-01,60.1548,39.9992,-10.0816,13.958,2.3296,33.7683,879595.462,13:55:54.254090,A,A,0.0,-1.4415124735245564,40.90304700648735
101,013A_05199_131313,2016-09-01,60.6121,38.0125,-10.1145,13.9623,2.3296,33.8104,879593.1325,13:55:21.155522,A,A,0.0,7.70624005126954,61.942800241545754
102,013A_05398_131313,2016-09-01,61.0752,36.0482,-10.1446,13.9676,2.3296,33.8529,879595.462,13:54:48.485538,A,A,0.0,4.773051843320515,59.67643708740771
104,013A_05797_131313,2016-09-13,61.9139,32.0353,-10.2806,13.9812,2.3296,33.8197,878458.8021,13:53:42.460677,A,A,0.0,1.9308395815267485,43.91061729311898
105,013A_05996_131313,2016-09-13,62.3332,30.0433,-10.3512,13.9861,2.3296,33.8498,878457.6373,13:53:09.365192,A,A,0.0,1.9795668356578935,45.69451472102532
106,013A_06196_131313,2016-09-13,62.7562,28.049,-10.4238,13.9901,2.3296,33.8791,878457.6373,13:52:36.264569,A,A,76.47390313176996,3.1429045181151958,55.689073331106236
108,013D_03885_131313,2017-03-06,-121.8593,51.1307,-169.8725,13.9262,2.3296,33.5909,881209.7412,14:19:45.979325,B,D,-216.88339957292706,70.79672701238265,14.832381364656493
109,013D_04083_131313,2017-03-06,-122.4044,49.1501,-169.9265,13.9321,2.3296,33.6814,881208.5764,14:20:19.093309,B,D,-85.88530106949402,28.079982609422043,85.65066214499805
111,014A_04939_131313,2016-09-01,35.3283,40.6164,-10.0705,13.9589,2.3296,39.4457,879170.4833,15:34:49.152249,A,A,12.311727224378053,20.152147244965793,27.17459664588068
112,014A_05138_131313,2016-09-01,35.7908,38.6299,-10.0995,13.9638,2.3296,39.4904,879171.6481,15:34:16.052653,A,A,23.12970773596792,7.19794487382693,13.021488812050862
114,014A_05540_151414,2016-09-01,36.6634,34.6463,-10.2017,13.9735,2.3296,33.8662,879170.4833,15:33:09.852435,A,A,33.080650045590204,11.632424625334206,62.40766966960709
115,014A_07524_101303,2016-12-18,40.6882,15.1034,-11.0404,14.0201,2.3296,39.659,877643.6217,15:27:45.611587,A,A,-30.847058287818662,27.507235882886008,37.82034286188988
119,014A_08068_141313,2019-05-07,41.8589,9.3257,-11.3655,14.0329,2.3296,39.6481,877601.5823,15:25:40.267811,B,A,-16.219792643116357,28.043759100663177,-16.219792643116357
123,015A_03923_131313,2019-04-19,8.0471,50.7714,-10.1531,13.9323,2.3296,39.2916,880059.7104,17:16:34.292212,A,A,-42.58901111028317,39.55901407146716,-94.03509411401551
124,015A_04513_111313,2016-09-01,9.6603,44.8269,-10.0249,13.9471,2.3296,33.8388,880679.3739,17:14:43.832255,A,A,-5.435783309235749,2.2476670269398022,22.99505224638274
133,016A_02562_091313,2019-11-03,-21.356,64.2691,-11.4987,13.9024,2.3296,39.1858,882341.5757,18:58:31.975029,B,A,25.411429960990947,92.41985851138121,91.51820643031876
139,017D_05636_040304,2020-04-13,135.1678,33.6141,-169.7817,13.9719,2.3296,39.6124,879114.0747,21:00:38.011733,A,D,-259.5427851384838,3.8707319498346378,25.604123445235704
156,018D_09415_060403,2017-03-12,102.707,-4.2716,-167.7214,14.051,2.3296,33.7809,878083.2434,22:49:30.266860,A,D,0.0,-17.38428420355137,-13.266773429709898
162,019D_05022_131313,2016-09-14,87.1794,39.7603,-169.9218,13.9546,2.3296,33.7013,879374.8192,0:16:08.360023,A,D,-37.83171969637757,-14.75170102708386,-24.691261413931894
163,019D_05221_131313,2016-09-14,86.6807,37.7728,-169.9135,13.9577,2.3296,33.7424,879374.8192,0:16:41.472979,A,D,18.858842288817787,-79.07473239708823,-29.672103344133824
164,019D_05420_131313,2016-09-14,86.2238,35.7846,-169.8745,13.973,2.3296,33.8209,879374.8192,0:17:14.570519,A,D,-39.053780749982344,-21.736719795984378,-5.653362116506897
165,019D_05619_131313,2016-09-14,85.7897,33.7937,-169.8171,13.977,2.3296,33.8579,879374.8192,0:17:47.678337,A,D,-62.747559038875075,-15.287406829520732,18.96579757247986
168,019D_06217_131313,2016-09-14,84.5489,27.8072,-169.5887,13.9926,2.3296,33.9881,879374.8192,0:19:26.969928,A,D,-8.78778121617151,-37.52425906241524,90.30075770543571
172,020A_04566_131313,2019-05-08,-113.6403,44.3337,-10.0196,13.9492,2.3296,39.4884,880425.8435,1:27:48.472263,B,A,-117.59791031999609,24.387257868744516,41.17482768726205
