,frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,opass,s1ab_offset_mm_prepost,s1ab_offset_mm,s1ab_offset_mm2,vel2,podoff,s1ab_offset_mm3,vel3,podoff3,s1ab_offset_mm_ok,count
608,064A_04019_131313,2019-04-17,-121.2659,49.8139,-10.1105,13.9335,2.3296,39.2925,879737.4579,1:54:00.190716,B,A,,14.40330952558568,14.403309525585684,-10.822723869519777,-1.4847374042061796,20.198230234963734,-10.739498592765441,-4.547025211547346,20.19823023496374,93
689,072A_04892_131313,2016-09-05,43.4374,41.0932,-10.0707,13.9592,2.3296,33.6719,879027.2152,15:02:02.403381,A,A,-67.86722933335983,35.239163579737564,29.341651742384894,57.152256868962674,121.36486818834126,33.74897199536208,4.448028580403073,42.96359414341362,33.8932455040702,200
692,072A_05289_131313,2016-09-05,44.3686,37.1122,-10.1268,13.9672,2.3296,33.7902,879027.2152,15:00:56.206244,A,A,-53.03906143911036,55.260552771947054,51.81445426199706,55.530140008867804,96.31792156693362,40.60140942342893,22.08470316513051,38.4646922693917,40.593053666066105,253
695,072A_05887_131313,2016-09-05,45.6428,31.1375,-10.3138,13.9827,2.3296,33.9249,879027.2152,14:59:16.918764,A,A,-28.883097598596233,25.05484062215635,26.43757921329684,50.31187430348931,73.87321693309143,29.275205007762143,32.27274148793524,47.425671691492596,28.93736463777199,185
709,073D_03461_000300,2020-07-22,-161.8521,55.3814,-169.761,13.8834,2.3296,39.0616,878772.4634,17:04:17.261602,A,D,,155.84801244415758,157.0671844855055,75.05291828616292,100.28308245294639,27.653981879728384,16.53657475043054,-10.190016709480584,43.80962093072435,103
737,077D_05487_141313,2016-09-17,94.3233,35.1182,-169.8454,13.9729,2.3296,33.778,878976.6305,23:44:30.940115,A,D,,55.035415603200484,55.20740061682584,-8.522388084840982,42.82727750202843,33.73807223907644,-16.575996813684615,30.935592856532338,39.13839825980184,112
760,079D_05408_131313,2016-09-18,45.1499,35.8916,-169.8515,13.9652,2.3296,33.8338,879709.1113,3:01:47.237772,A,D,,39.53637499860786,39.53637499860795,-10.016764442152883,-45.89509130190439,41.40179947807504,-80.29711273409872,117.59261429674058,41.401799478075034,100
773,080D_04608_131313,2016-09-06,22.3085,43.8848,-169.974,13.9424,2.3296,33.8417,881141.7919,4:38:18.218134,A,D,-24.990876800708023,27.458783232016618,27.358874384206796,-13.39440272448862,54.246180095539486,27.358874384206796,-13.39440272448862,54.246180095539486,27.458783232016618,148
839,085A_06253_131313,2016-09-06,85.522,27.4748,-10.4377,13.9884,2.3296,33.9902,879201.9324,12:21:55.416767,A,A,,9.806620237137098,-46.997820341074586,89.11027009336847,215.34613847753872,35.548938628488486,21.851650393984478,93.76083775227553,56.34355068046788,138
901,092D_05981_121313,2016-09-19,82.9774,30.2052,-169.6895,13.9869,2.3296,33.9395,879347.3636,0:27:01.187066,A,D,,38.849057655055496,34.00316607471674,1.9411564169694635,62.97821643741674,29.902452943013472,-22.512877691263014,27.902261373549134,28.262061155704213,120
903,092D_06191_141214,2016-09-19,82.5672,28.1189,-169.5964,13.9914,2.3296,33.9697,879347.3636,0:27:35.662857,A,D,,45.55336550457726,33.2164221487412,2.9682048077322514,93.59977875071837,34.81254755897829,-32.666170244420336,40.1670837060944,35.029400690090625,102
904,092D_06405_141415,2016-09-19,82.2595,26.5092,-169.5178,13.9887,2.3296,34.0223,879347.3636,0:28:02.347062,A,D,,41.88469566127831,23.872270193344853,20.53564870378131,110.78972842564302,49.8223618997627,-66.73649949644647,0.0763387752667183,40.2552003453969,88
927,095D_04589_131313,2016-09-07,12.0888,44.0907,-169.9626,13.9418,2.3296,33.804,880908.8357,5:19:23.344581,A,D,3.248168533252624,45.66408854582155,45.86948073764448,-15.751117678913703,28.341170785286675,45.86948073764448,-15.751117678913703,28.341170785286675,45.66408854582155,132
928,095D_04767_130707,2016-09-07,11.6117,42.1319,-169.9554,13.9462,2.3296,33.8467,880908.8357,5:19:55.962150,A,D,-20.916639326378448,30.66558454330556,29.760421364765012,179.09832730203024,86.5334387266633,29.760421364765012,179.09832730203024,86.5334387266633,30.66558454330556,104
930,096A_13556_161717,2019-12-27,168.4459,-45.5586,-18.7159,14.0648,2.3296,38.6796,886538.4483,7:46:08.269484,B,A,,33.8166150368522,33.816615036852205,32.03456050454106,-123.89485068691597,33.816615036852205,32.03456050454106,-123.89485068691597,33.8166150368522,88
944,099A_05815_131313,2016-09-07,99.0361,31.8537,-10.2568,13.986,2.3296,33.8519,878759.8148,11:25:31.990899,A,A,,-93.03092141453631,-7.710872369525894,61.90280022980348,190.12950165476113,28.42273613278718,-26.435891239203887,19.199634158341308,36.649984400644186,146
1014,106A_09048_000909,2020-12-10,-91.5055,-0.4693,-12.0191,14.0343,2.3296,41.6437,901242.4791,0:26:14.884940,B,A,-62.11636491871613,12.463448002135658,7.98622338356706,2.7465947431485107,118.0850133504044,7.98622338356706,2.7465947431485107,118.0850133504044,12.463448002135658,159
