frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time
006D_08328_131313,20181126.0000,41.2271,6.7007,-168.4752,14.0319,2.3296,39.6231,877716.3374,3:01:49.526221
006D_08529_131313,20181126.0000,40.8275,4.6986,-168.3476,14.0362,2.3296,39.6044,877716.3374,3:02:22.624788
006D_11164_081313,20191227.0000,34.7903,-21.5826,-166.0843,14.0651,2.3296,39.1692,880431.9412,3:09:44.323389
007A_02114_121313,20210309.0000,-161.7659,68.8881,-12.9005,13.8950,2.3296,39.0965,882311.4577,4:11:11.525908
007A_02306_131313,20210309.0000,-160.5953,66.9346,-12.2301,13.8992,2.3296,39.1341,882311.4577,4:10:38.425284
007A_02502_131313,20210309.0000,-159.5706,64.9765,-11.7043,13.9019,2.3296,39.1741,882311.4577,4:10:05.327745
007A_02698_131313,20200525.0000,-158.6542,63.0134,-11.2862,13.9046,2.3296,39.2229,882311.4577,4:09:29.293220
007A_02892_131312,20200501.0000,-157.8353,61.0730,-10.9583,13.9106,2.3296,39.2336,881967.8473,4:08:55.351705
007A_03087_131313,20200501.0000,-157.0894,59.1323,-10.7013,13.9133,2.3296,39.2786,881967.8473,4:08:22.739276
007A_03294_131613,20200501.0000,-156.3208,56.9429,-10.4814,13.9163,2.3296,39.3308,881967.8473,4:07:45.970513
007D_04098_131313,20181126.0000,25.7016,48.9982,-169.9090,13.9318,2.3296,39.3290,880236.9235,4:28:51.796928
007D_04296_131313,20181126.0000,25.1723,47.0165,-169.9462,13.9352,2.3296,39.3773,880236.9235,4:29:24.896523
007D_04494_131313,20181126.0000,24.6644,45.0327,-169.9627,13.9399,2.3296,39.4252,880236.9235,4:29:57.993035
007D_04692_131313,20181126.0000,24.1725,43.0478,-169.9631,13.9459,2.3296,39.4724,880238.0883,4:30:31.093658
007D_04892_131313,20181126.0000,23.6981,41.0616,-169.9469,13.9509,2.3296,39.5183,880238.0883,4:31:04.186059
007D_05096_101313,20201010.0000,23.2374,39.0729,-169.9160,13.9568,2.3296,39.5644,880238.0883,4:31:50.786552
007D_05293_151310,20160901.0000,22.7544,36.9181,-169.8729,13.9604,2.3296,33.9933,880840.1137,4:32:00.199314
007D_05457_030000,20181126.0000,23.3134,35.4130,-169.3158,13.9643,2.3296,33.9530,825906.8785,4:32:36.123898
007D_07097_131313,20170306.0000,19.0441,19.0141,-169.1617,14.0069,2.3296,33.8891,877793.1057,4:36:12.354003
008A_02342_060607,20210309.0000,-160.3126,66.5531,-12.0516,13.8966,2.3296,39.1417,882311.4577,4:10:32.015032
008A_02485_131313,20210309.0000,-159.6513,65.1396,-11.7435,13.9019,2.3296,39.1707,882311.4577,4:10:08.086301
008A_12731_060000,20191115.0000,176.2581,-37.3004,-15.8475,14.0678,2.3296,33.1983,831327.6624,6:59:11.891105
008A_12835_201207,20201016.0000,177.2976,-38.2290,-16.4932,14.0679,2.3296,38.8681,884798.0990,6:58:58.902880
008A_12836_151207,20191115.0000,177.4300,-38.6082,-16.5744,14.0680,2.3296,38.8516,884798.0990,6:58:46.163762
009D_02423_131316,20170405.0000,-17.5922,65.6371,-168.0106,13.8970,2.3296,39.1481,882348.3389,7:41:23.601613
009D_02504_202119,20201221.0000,-18.0275,65.0005,-168.2734,13.8976,2.3296,39.1796,882598.9332,7:42:05.996600
009D_02597_080910,20170306.0000,-18.6028,63.9135,-168.5669,13.9007,2.3296,33.4028,882348.2316,7:41:12.960145
010A_09915_111413,20210725.0000,119.8568,-9.1633,-12.6721,14.0572,2.3296,39.4704,879006.9149,10:25:18.663636
010D_12441_131313,,-67.8788,-34.4275,-164.1155,14.0684,2.3296,38.8627,883042.1081,9:47:35.996850
010D_12637_131313,20170306.0000,-68.5517,-36.3927,-163.7358,14.0686,2.3296,33.0987,883363.4213,9:47:47.789923
010D_12833_131313,20190624.0000,-69.2828,-38.3502,-163.3108,14.0681,2.3296,38.6731,883042.1081,9:48:38.533151
010D_13416_131313,20170306.0000,-71.7139,-44.1903,-161.7960,14.0673,2.3296,32.6483,883364.5861,9:50:00.182137
010D_13610_131313,20170306.0000,-72.6218,-46.1242,-161.1956,14.0660,2.3296,32.5603,883364.5861,9:50:33.279676
010D_13802_131313,20170306.0000,-73.6002,-48.0511,-160.5279,14.0650,2.3296,32.4729,883363.4213,9:51:06.383383
010D_13986_131310,20170306.0000,-74.1315,-49.9387,-160.2002,14.0644,2.3296,32.3005,883363.4213,9:51:38.995812
011A_04903_171717,20201022.0000,109.2944,40.9692,-10.0719,13.9581,2.3296,39.4095,878980.9567,10:39:07.363710
011A_05533_131313,20160925.0000,110.7177,34.6683,-10.1997,13.9746,2.3296,33.7980,878674.7858,10:36:57.337248
011A_05732_131313,20201022.0000,111.1570,32.6770,-10.2551,13.9765,2.3296,39.5836,878980.9567,10:36:49.452326
011A_05932_131313,20200425.0000,111.5818,30.6839,-10.3207,13.9832,2.3296,39.6243,878980.9567,10:36:07.844789
011A_06132_131313,20201010.0000,111.9933,28.6888,-10.3991,13.9874,2.3296,39.6533,878980.9567,10:35:43.398051
011D_06470_131006,20191227.0000,-78.4118,25.3477,-169.4572,13.9903,2.3296,39.6135,877988.2306,11:10:28.774419
011D_06867_060602,20191227.0000,-79.2591,21.2437,-169.2750,14.0013,2.3296,39.6581,877987.0658,11:11:36.831833
011D_08160_131211,20170324.0000,-81.8453,8.3652,-168.5764,14.0297,2.3296,33.9054,877656.2679,11:14:49.320423
012A_04251_131313,20200823.0000,82.9998,47.4867,-10.0724,13.9393,2.3296,39.2606,879126.0552,12:19:39.176623
012A_04449_131313,20200811.0000,83.5170,45.5035,-10.0477,13.9480,2.3296,39.3085,879126.0552,12:19:05.369589
012A_04648_131313,20200811.0000,84.0163,43.5194,-10.0402,13.9532,2.3296,39.3565,879126.0552,12:18:32.272048
012A_04857_141415,20200823.0000,84.5226,41.4251,-10.0517,13.9542,2.3296,39.4068,879126.0552,12:17:58.060725
012A_05046_131313,20200811.0000,84.9468,39.5443,-10.0863,13.9625,2.3296,39.4490,879127.2200,12:17:26.074913
012A_05244_131313,20160901.0000,85.4277,37.5615,-10.1058,13.9732,2.3296,33.8032,879289.2910,12:16:28.930279
012A_05350_242424,20210619.0000,85.6488,36.4793,-10.1403,13.9774,2.3296,39.5146,879126.0552,12:16:37.817743
012A_05380_192022,20210619.0000,85.6915,36.3139,-10.1411,13.9774,2.3296,39.5180,879126.0552,12:16:35.061242
