frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time
044D_13587_181814,20191229.0000,168.1690,-45.9081,-161.2693,14.0669,2.3296,38.6277,886266.1633,17:48:48.551613
045A_02494_171816,20201223.0000,-17.6903,65.0438,-11.7429,13.9017,2.3296,39.1652,882344.0126,18:43:04.167637
045A_02538_121210,20200708.0000,-17.1625,64.5777,-11.3633,13.9020,2.3296,39.1842,882341.6830,18:42:53.802251
045D_12779_101313,20210808.0000,146.8940,-37.8948,-163.4165,14.0671,2.3296,38.6923,882944.2075,19:25:27.841680
046D_04690_121308,20170302.0000,141.4837,43.1832,-169.9463,13.9444,2.3296,33.6324,879531.0663,20:41:11.041821
046D_04907_081313,20170302.0000,140.9571,40.9770,-169.9291,13.9515,2.3296,33.7263,879531.0663,20:41:47.793112
046D_05096_121313,20170302.0000,140.5065,39.0423,-169.9024,13.9555,2.3296,33.7682,879531.0663,20:42:20.003679
046D_05292_131313,20170302.0000,140.0474,37.0524,-169.8681,13.9592,2.3296,33.8090,879528.7367,20:42:53.108414
046D_05469_071311,20170302.0000,139.6138,35.0626,-169.8145,13.9668,2.3296,33.8865,879528.7367,20:43:26.213148
046D_09127_131313,20200801.0000,132.1211,-1.2744,-167.9424,14.0486,2.3296,39.7104,879333.5526,20:53:54.923506
046D_09323_090905,20200602.0000,131.7353,-3.1050,-167.8078,14.0488,2.3296,39.6754,879332.3878,20:54:21.531860
047A_09184_131313,20200819.0000,-75.1378,-1.8427,-12.0971,14.0486,2.3296,39.6219,878833.0886,23:20:02.916478
047A_09384_131313,20200819.0000,-74.7096,-3.8410,-12.2444,14.0506,2.3296,39.5818,878833.0886,23:19:29.815855
047A_09583_131313,20200819.0000,-74.2678,-5.8369,-12.3987,14.0548,2.3296,39.5369,878833.0886,23:18:56.715232
047A_09783_131313,20200819.0000,-73.8252,-7.8332,-12.5589,14.0563,2.3296,39.4872,878833.0886,23:18:23.615637
047A_10380_131313,20190509.0000,-72.4088,-13.8060,-13.0977,14.0710,2.3296,39.3888,879661.2481,23:16:31.958491
047A_10580_131313,20190509.0000,-71.9303,-15.7977,-13.2919,14.0643,2.3296,39.3216,879661.2481,23:15:58.855812
047A_11581_141313,20190509.0000,-69.2527,-25.8003,-14.4848,14.0717,2.3296,39.1613,882138.9037,23:13:11.919476
047A_11782_131313,20190509.0000,-68.6666,-27.8018,-14.7724,14.0733,2.3296,39.0735,882138.9037,23:12:38.407741
047D_09652_111009,20170302.0000,106.3131,-6.5587,-167.5422,14.0533,2.3296,33.7911,878524.3627,22:33:40.456028
048A_06409_131311,20191229.0000,-80.8059,25.8601,-10.5190,13.9951,2.3296,39.6507,878557.9748,23:28:17.352164
048A_06749_111314,20191229.0000,-80.1099,22.4787,-10.6667,14.0025,2.3296,39.6898,878556.8100,23:27:21.284810
048A_08164_161210,20200620.0000,-77.2861,8.5684,-11.4063,14.0317,2.3296,39.7512,878830.7591,23:22:51.842785
048A_08174_131210,20200819.0000,-77.2338,8.3188,-11.4229,14.0317,2.3296,39.7490,878833.0886,23:22:51.113400
048A_08363_131313,20200819.0000,-76.8298,6.3794,-11.5420,14.0365,2.3296,39.7346,878833.0886,23:22:18.980943
048A_08563_131313,20200819.0000,-76.4221,4.3794,-11.6704,14.0409,2.3296,39.7149,878833.0886,23:21:45.882376
048D_04257_131313,20161009.0000,93.1291,47.4106,-169.9631,13.9372,2.3296,33.6668,880647.5921,23:57:33.913952
048D_04455_131313,20161009.0000,92.6206,45.4262,-169.9806,13.9422,2.3296,33.7114,880647.5921,23:58:07.013547
048D_04853_131313,20201211.0000,91.7063,41.4482,-169.9300,13.9491,2.3296,39.4000,878939.8567,23:59:37.315555
048D_05052_131313,20200825.0000,91.2956,39.8534,-169.9343,13.9571,2.3296,39.4432,878939.8567,"1 day, 0:00:03.692033"
048D_05250_131313,20201025.0000,90.7381,37.4794,-169.9002,13.9642,2.3296,39.4906,878942.1862,0:00:44.672315
048D_05449_131313,20201025.0000,90.2839,35.4902,-169.8587,13.9709,2.3296,39.5323,878942.1862,0:01:17.774994
048D_05651_141313,20201025.0000,89.8382,33.4754,-169.8042,13.9803,2.3296,39.5721,878942.1862,0:01:51.287756
048D_05853_131313,20160916.0000,89.4095,31.4536,-169.7361,13.9821,2.3296,33.8463,878941.5207,0:01:59.176760
048D_06052_131313,20191124.0000,88.9913,29.4599,-169.6608,13.9870,2.3296,39.6417,878942.1862,0:02:51.199764
048D_06252_131313,20160904.0000,88.6058,27.4562,-169.5678,13.9944,2.3296,33.8231,878040.6457,0:03:04.854504
048D_06453_131313,20160904.0000,88.2392,25.4571,-169.4636,13.9907,2.3296,33.8515,878042.9753,0:03:37.953071
048D_06653_131313,20200721.0000,87.8152,23.4638,-169.3828,13.9934,2.3296,39.7269,878942.1862,0:04:33.690025
048D_06830_061312,20200721.0000,87.4187,21.5209,-169.2932,14.0006,2.3296,39.7459,878942.1862,0:05:05.899566
049A_02366_131313,20210318.0000,-141.7491,66.3543,-12.0478,13.8993,2.3296,39.1573,882418.8913,2:57:06.919385
049A_04537_131313,20190510.0000,-109.6085,44.6252,-10.0279,13.9522,2.3296,39.4002,879586.5357,1:11:25.880498
049A_05532_131313,20190510.0000,-107.3025,34.6848,-10.1761,13.9747,2.3296,39.6214,879587.7004,1:08:40.389717
049A_05731_131313,20190510.0000,-106.8753,32.6922,-10.2388,13.9808,2.3296,39.6595,879587.7004,1:08:07.292176
049A_06715_141313,20190504.0000,-104.8707,22.8779,-10.6432,14.0040,2.3296,39.6550,878003.0399,1:06:06.219055
049A_06918_131313,20190504.0000,-104.4496,20.8275,-10.7381,14.0073,2.3296,39.6738,878003.0399,1:05:32.225293
049A_07091_051113,20190504.0000,-104.0464,18.8292,-10.8369,14.0073,2.3296,39.6880,878003.0399,1:04:59.121587
049D_05136_131313,20160904.0000,66.3436,38.6204,-169.9071,13.9606,2.3296,33.7105,879111.5787,1:38:43.975662
049D_05335_131313,20160904.0000,65.9075,36.6343,-169.8582,13.9620,2.3296,33.7496,879111.5787,1:39:17.075257
049D_05534_131313,20160904.0000,65.4411,34.6437,-169.8227,13.9671,2.3296,33.7874,879111.5787,1:39:50.176908
049D_05733_131313,20160904.0000,65.0253,32.6501,-169.7539,13.9762,2.3296,33.8581,879111.5787,1:40:23.281643
049D_05932_131313,20160904.0000,64.6071,30.6551,-169.6827,13.9784,2.3296,33.8907,879111.5787,1:40:56.382266
049D_06132_131313,20160904.0000,64.1916,28.6618,-169.6072,13.9816,2.3296,33.9214,879111.5787,1:41:29.482888
049D_06331_131313,20160904.0000,63.7756,26.6650,-169.5276,13.9897,2.3296,33.9762,879111.5787,1:42:02.585568
049D_06459_040405,20160904.0000,63.5049,25.3355,-169.4692,13.9918,2.3296,34.0001,879111.5787,1:42:24.647854
050A_02141_111212,20201025.0000,-143.0171,68.5815,-12.7477,13.8963,2.3296,39.1112,882418.8913,2:57:48.729252
050A_02326_131313,20210306.0000,-141.9563,66.7327,-12.1585,13.8992,2.3296,39.1479,882420.0561,2:57:13.356089
050A_02522_131313,20210306.0000,-140.9358,64.7744,-11.6377,13.9021,2.3296,39.1879,882418.8913,2:56:40.257522
050D_04448_151313,20200404.0000,43.2943,45.4563,-169.9561,13.9380,2.3296,39.4150,880143.7410,3:15:51.528917
050D_04647_121313,20160904.0000,42.8182,43.5268,-169.9569,13.9415,2.3296,33.6732,880143.7410,3:16:06.919129
050D_04843_131313,20160904.0000,42.3128,41.5414,-169.9633,13.9500,2.3296,33.7584,880143.7410,3:16:40.021807
050D_05046_141313,20160904.0000,41.8377,39.4738,-169.9309,13.9559,2.3296,33.7998,880142.5762,3:17:14.494514
050D_05246_131313,20160904.0000,41.3892,37.4811,-169.8896,13.9592,2.3296,33.8401,880143.7410,3:17:47.588971
050D_05443_121313,20160904.0000,40.9754,35.5733,-169.8371,13.9643,2.3296,33.9170,880143.7410,3:18:19.311343
050D_05639_131313,20160904.0000,40.5438,33.6068,-169.7827,13.9679,2.3296,33.9533,880143.7410,3:18:52.001883
050D_07693_131313,20161209.0000,36.3552,13.0568,-168.8478,14.0190,2.3296,33.8986,877715.1726,3:24:32.778653
050D_07892_131313,20161209.0000,35.9408,11.0569,-168.7360,14.0267,2.3296,33.8958,877716.3374,3:25:05.875166
050D_08092_131313,20161209.0000,35.5386,9.0593,-168.6178,14.0301,2.3296,33.8894,877716.3374,3:25:38.974761
050D_08292_131313,20161209.0000,35.1328,7.0568,-168.4955,14.0330,2.3296,33.8797,877716.3374,3:26:12.075384
050D_08492_131313,20161209.0000,34.7314,5.0568,-168.3692,14.0369,2.3296,33.8500,877716.3374,3:26:45.177034
050D_09491_131313,20190428.0000,32.6064,-4.9317,-167.6697,14.0513,2.3296,39.4934,878279.3186,3:29:00.364722
051D_02601_131308,20200522.0000,24.8948,64.1043,-168.3435,13.8975,2.3296,39.2392,882954.1914,4:49:25.942356
051D_03973_131313,20160904.0000,19.8756,50.2313,-169.8721,13.9268,2.3296,33.5229,880393.0042,4:52:59.561623
051D_04370_131313,20160904.0000,18.8156,46.2679,-169.9490,13.9370,2.3296,33.6555,880393.0042,4:54:05.759786
051D_04568_131313,20160904.0000,18.3145,44.2851,-169.9592,13.9407,2.3296,33.6992,880393.0042,4:54:38.861436
051D_04743_080514,20160904.0000,17.8141,42.2684,-169.9587,13.9489,2.3296,33.7848,880393.0042,4:55:12.451282
051D_04982_051313,20160904.0000,17.3048,40.0616,-169.9268,13.9515,2.3296,33.8264,880391.8394,4:55:49.205657
051D_05177_000715,20160904.0000,16.3364,37.9769,-170.1937,13.9260,2.3296,39.2448,903593.1144,4:56:25.055586
051D_08719_111304,20170408.0000,9.5193,2.5204,-168.2038,14.0383,2.3296,33.8967,878083.2434,5:06:09.494014
052A_13183_181613,20191130.0000,173.0505,-42.1487,-17.6912,14.0668,2.3296,38.7553,885591.9805,7:22:26.538910
053A_09189_130606,20200615.0000,136.6951,-1.6064,-12.0826,14.0485,2.3296,39.5832,878249.9735,9:13:12.475651
053A_09375_151516,20200615.0000,137.1689,-3.7356,-12.2400,14.0525,2.3296,39.5411,878249.9735,9:12:37.155027
054A_04813_131313,20190504.0000,127.6117,41.8701,-10.0516,13.9564,2.3296,39.4405,879420.7449,9:25:04.431406
054A_05261_121306,20190504.0000,128.6037,37.5609,-10.1204,13.9634,2.3296,39.5369,879420.7449,9:23:52.705853
054A_05446_131604,20200820.0000,129.0756,35.3733,-10.1819,13.9709,2.3296,39.5342,878891.1614,9:22:47.071304
054A_05688_051313,20170917.0000,129.5687,33.1089,-10.2470,13.9753,2.3296,39.5554,878642.5638,9:21:51.441848
054A_05884_001412,20191025.0000,130.4490,31.1022,-10.0811,13.9564,2.3296,41.6460,901804.7354,9:21:30.606654
054A_09773_111213,20190504.0000,113.3708,-7.7749,-12.5559,14.0554,2.3296,39.4809,878741.3447,10:50:05.836402
054D_07353_071304,20170303.0000,-61.6747,16.5632,-169.0359,14.0121,2.3296,33.9214,877755.9400,9:58:29.524781
054D_07620_180000,20200428.0000,-61.4646,13.7858,-168.7197,14.0154,2.3296,33.9278,822940.1813,9:59:34.132503
054D_10482_131313,20200727.0000,-68.4476,-14.8325,-166.8016,14.0612,2.3296,39.4213,880238.4802,10:06:54.256730
054D_10879_131313,20170309.0000,-69.4365,-18.8067,-166.3869,14.0731,2.3296,33.5875,880308.2007,10:07:34.339105
054D_11407_131100,20200721.0000,-70.1435,-24.1333,-166.0798,14.0691,2.3296,36.4880,854428.2054,10:10:09.304885
054D_12017_130000,20191130.0000,-71.4430,-30.1760,-165.5421,14.0686,2.3296,33.0582,826960.2325,10:11:03.294081
055A_04166_131313,20160916.0000,101.3267,48.4214,-10.0443,13.9374,2.3296,33.6734,880886.2058,11:05:27.080574
055A_05021_131313,20160904.0000,103.4088,39.7821,-10.0816,13.9605,2.3296,33.6678,878890.1039,11:03:02.637621
055A_05221_131313,20160904.0000,103.8687,37.7946,-10.1136,13.9688,2.3296,33.7463,878890.1039,11:02:29.535970
055A_05420_131313,20160904.0000,104.3251,35.8058,-10.1523,13.9735,2.3296,33.7833,878890.1039,11:01:56.442541
055A_05619_131313,20160904.0000,104.7597,33.8149,-10.2080,13.9775,2.3296,33.8186,878890.1039,11:01:23.345001
055A_05818_131313,20160904.0000,105.1847,31.8186,-10.2738,13.9812,2.3296,33.8852,878890.1039,11:00:50.246433
055A_06018_131313,20160904.0000,105.5871,29.8248,-10.3544,13.9853,2.3296,33.9176,878890.1039,11:00:17.148894
055A_06237_161515,20201025.0000,106.0397,27.6338,-10.4412,13.9920,2.3296,39.6325,878643.0038,11:00:06.973442
055A_07454_101001,20161010.0000,108.4868,15.5116,-11.0198,14.0171,2.3296,33.8863,877609.1776,10:56:20.837787
055D_06788_080100,20191230.0000,-84.8196,22.3458,-169.1828,14.0003,2.3296,36.9884,850962.8154,11:35:58.497628
055D_07463_141311,20200123.0000,-86.6015,15.4148,-168.9785,14.0137,2.3296,39.6623,877682.5588,11:37:53.498741
055D_07654_131311,20170303.0000,-87.0015,13.3862,-168.8654,14.0189,2.3296,33.9094,877682.5588,11:38:06.789232
055D_07671_161411,20200615.0000,-87.0596,13.1378,-168.8553,14.0188,2.3296,39.6661,877684.8883,11:38:34.639107
055D_07784_040200,20170303.0000,-86.9052,12.0694,-168.7224,14.0237,2.3296,33.9095,850757.4812,11:38:27.473268
055D_09058_061112,20170303.0000,-90.0914,-0.5295,-167.9838,14.0469,2.3296,33.8234,878102.3791,11:41:57.161161
056A_04413_191919,20200826.0000,52.5194,45.8730,-10.0840,13.9430,2.3296,39.2956,879037.5318,14:22:38.345131
056A_04661_131313,20200826.0000,53.1565,43.3922,-10.0649,13.9503,2.3296,39.3558,879037.5318,14:21:56.972949
056A_04860_131313,20200814.0000,53.6357,41.4056,-10.0761,13.9540,2.3296,39.4024,879039.8614,14:21:23.062680
056A_04947_282019,20201001.0000,78.6349,40.1560,-10.0749,13.9642,2.3296,39.4386,879203.0972,12:42:19.416825
056A_05059_131313,20200814.0000,78.8254,39.4106,-10.0767,13.9595,2.3296,39.4565,879201.9324,12:42:05.122170
056A_05258_131313,20160904.0000,79.2668,37.4258,-10.1217,13.9741,2.3296,33.7771,879113.4090,12:41:07.993810
056A_05398_221919,20210622.0000,79.5718,36.1194,-10.1411,13.9779,2.3296,39.5268,879201.9324,12:41:13.024503
056A_05401_202019,20210622.0000,79.6048,35.9826,-10.1432,13.9779,2.3296,39.5296,879201.9324,12:41:10.751058
056A_05457_131313,20160904.0000,79.7575,35.4361,-10.1412,13.9781,2.3296,33.8143,879113.4090,12:40:34.896271
056A_05656_131313,20160904.0000,80.1961,33.4461,-10.1961,13.9810,2.3296,33.8497,879113.4090,12:40:01.800786
056A_05855_131313,20160904.0000,80.6244,31.4492,-10.2624,13.9835,2.3296,33.9151,879113.4090,12:39:28.700163
056A_06055_131313,20160904.0000,80.9958,29.4539,-10.3601,13.9844,2.3296,33.9446,879113.4090,12:38:55.597485
056A_06255_131313,20160904.0000,81.3898,27.4564,-10.4490,13.9881,2.3296,33.9734,879113.4090,12:38:22.504056
056D_05559_131313,20170303.0000,-107.4069,34.3914,-169.8052,13.9709,2.3296,33.8283,879204.2619,13:11:03.284342
056D_06337_131306,20200721.0000,-109.0700,26.4471,-169.5143,13.9894,2.3296,39.6907,879028.3800,13:13:41.020679
056D_06361_161306,20200615.0000,-109.1133,26.2266,-169.5040,13.9894,2.3296,39.6940,879028.3800,13:13:42.543471
056D_06616_001011,20200615.0000,-110.0156,23.8829,-169.5695,13.9702,2.3296,41.7776,902269.2576,13:14:22.597014
056D_06669_000305,20200721.0000,-110.1191,23.3837,-169.5436,13.9748,2.3296,41.7827,902270.4224,13:14:33.009810
057A_04370_141414,20200814.0000,52.4270,46.2862,-10.0786,13.9429,2.3296,39.2851,879039.8614,14:22:44.430848
057A_04611_171717,20200814.0000,53.0241,43.8878,-10.0715,13.9503,2.3296,39.3435,879039.8614,14:22:04.432805
057A_04876_171717,20200814.0000,53.6736,41.2403,-10.0782,13.9540,2.3296,39.4062,879039.8614,14:21:20.302068
057A_05143_171718,20200814.0000,54.2989,38.5643,-10.1135,13.9614,2.3296,39.4670,879039.8614,14:20:35.739663
057A_05393_151514,20191230.0000,54.8718,36.0748,-10.1599,13.9702,2.3296,39.5141,879037.5318,14:19:48.164841
057A_05605_131313,20160904.0000,55.3383,33.9477,-10.2174,13.9772,2.3296,33.8667,879063.1571,14:18:54.920007
057A_05805_131313,20160904.0000,55.7660,31.9571,-10.2800,13.9823,2.3296,33.8995,879063.1571,14:18:21.819384
057A_06004_131313,20160904.0000,56.2018,29.9635,-10.3428,13.9857,2.3296,33.9302,879063.1571,14:17:48.723900
057A_06204_131313,20160904.0000,56.6128,27.9678,-10.4220,13.9899,2.3296,33.9864,879063.1571,14:17:15.625333
057A_06259_142123,20200615.0000,56.7601,27.1921,-10.4570,13.9880,2.3296,39.6803,879039.8614,14:17:23.295467
057A_06387_130911,20160904.0000,57.0071,25.9717,-10.5123,13.9942,2.3296,34.0125,879063.1571,14:16:42.524709
057A_09245_131313,20190504.0000,38.1489,-2.4412,-12.1436,14.0519,2.3296,39.5772,878361.6261,15:47:48.139989
057A_09641_131311,20200522.0000,39.0046,-6.4399,-12.4480,14.0550,2.3296,39.4914,878361.6261,15:46:49.409023
057A_09827_131303,20200522.0000,39.0248,-8.4376,-12.5289,14.0567,2.3296,39.4404,878361.6261,15:46:16.313539
057D_03673_131313,20190428.0000,-127.4045,53.2447,-169.7734,13.9225,2.3296,39.3116,881111.4005,14:44:06.621937
057D_03827_091202,20201007.0000,-127.9617,51.3772,-169.8634,13.9256,2.3296,39.3543,881111.4005,14:44:52.236315
058A_04914_121007,20160904.0000,29.0481,41.0587,-10.0703,13.9543,2.3296,33.6840,879150.5156,15:59:37.838541
058A_05086_131313,20160904.0000,29.4888,39.1534,-10.0982,13.9634,2.3296,33.7650,879150.5156,15:59:06.116168
058A_05279_131311,20160904.0000,29.9363,37.1647,-10.1388,13.9657,2.3296,33.8035,879150.5156,15:58:33.018628
058A_08540_131313,20190504.0000,36.6608,4.6112,-11.6574,14.0393,2.3296,39.6834,878361.6261,15:49:44.945948
058A_08739_131313,20190504.0000,37.0716,2.6107,-11.7890,14.0466,2.3296,39.6596,878361.6261,15:49:11.847380
059A_04506_121313,20160904.0000,3.4346,44.9369,-10.0450,13.9468,2.3296,33.7065,879972.3518,17:39:26.986444
059A_05328_050404,20201025.0000,5.3841,36.7361,-10.1272,13.9654,2.3296,39.6071,880035.7492,17:37:36.551499
059D_00001_041107,20190323.0000,167.7611,-15.7792,-166.6615,14.0636,2.3296,39.3753,879925.1542,18:20:40.095116
059D_02401_071313,20210324.0000,-171.8918,65.9140,-168.0780,13.8958,2.3296,39.2020,882761.3961,17:58:13.544587
059D_03819_050404,20170309.0000,-177.2097,51.8183,-169.8494,13.9268,2.3296,33.6245,881101.7495,18:01:44.728237
059D_11152_131310,20201007.0000,166.4241,-21.5738,-166.0735,14.0660,2.3296,39.2536,880974.1227,18:22:32.515262
060A_00001_030604,20200311.0000,-17.5031,28.2238,-10.4150,13.9857,2.3296,39.6011,878308.8782,19:13:49.862712
060A_06142_000200,20210511.0000,-17.5424,28.5933,-10.3800,13.9604,2.3296,39.2558,874635.0538,19:13:22.042708
060D_03177_141109,20170303.0000,160.2373,58.3911,-169.3655,13.9111,2.3296,33.4938,881680.7530,19:39:20.917009
060D_03363_131313,20170303.0000,159.5181,56.3374,-169.5679,13.9138,2.3296,33.5366,881680.7530,19:39:55.391771
060D_03564_141313,20170303.0000,158.8771,54.3366,-169.7090,13.9205,2.3296,33.6244,881680.7530,19:40:28.893228
060D_03718_021307,20170303.0000,158.2831,52.3846,-169.8153,13.9229,2.3296,33.6690,881680.7530,19:41:01.567323
060D_09456_010203,20170303.0000,145.8448,-4.5249,-167.6979,14.0525,2.3296,33.8362,878578.4418,19:56:46.210328
060D_09589_101313,20200627.0000,145.5263,-5.8211,-167.5963,14.0530,2.3296,39.6400,879611.1033,19:57:32.115887
060D_09744_080810,20200603.0000,145.1512,-7.5431,-167.4588,14.0584,2.3296,39.5975,879611.1033,19:57:59.158730
061D_05289_021007,20170309.0000,129.6815,36.7674,-169.8710,13.9591,2.3296,33.9868,880700.3991,21:23:24.714367
061D_05504_010913,20200715.0000,129.3718,35.3851,-169.8388,13.9672,2.3296,39.7194,880700.3991,21:24:12.978084
061D_05562_000202,20200715.0000,128.6767,34.3762,-170.0779,13.9398,2.3296,41.7862,903900.5093,21:24:30.903562
061D_07748_050613,20170303.0000,124.7902,12.9226,-168.8383,14.0239,2.3296,33.9421,877687.2179,21:30:41.846605
061D_07906_131313,20170207.0000,124.3750,10.9240,-168.7273,14.0238,2.3296,33.9399,877687.2179,21:31:15.380674
061D_08107_131313,20170303.0000,123.9811,8.9223,-168.6072,14.0270,2.3296,33.9374,877687.2179,21:31:48.063267
061D_08277_110410,20170303.0000,123.6086,7.1188,-168.4977,14.0343,2.3296,33.9182,877687.2179,21:32:17.920223
061D_09012_161516,20170303.0000,122.1027,-0.1278,-168.0234,14.0455,2.3296,33.9283,878318.0300,21:34:17.892971
061D_09234_131313,20201013.0000,121.6155,-2.3433,-167.8636,14.0481,2.3296,39.5958,878344.1544,21:35:24.107676
061D_09920_121210,20170315.0000,120.1308,-9.1694,-167.3302,14.0574,2.3296,33.6789,878342.9896,21:36:48.080805
062A_07928_050400,20190615.0000,-63.7053,10.7512,-11.3411,14.0278,2.3296,37.0211,850945.5691,22:25:46.357696
062A_08013_171717,20200808.0000,-63.1728,9.8758,-11.3330,14.0305,2.3296,39.6546,877780.9586,22:25:40.508803
062A_08021_131211,20190615.0000,-63.1589,9.8181,-11.3361,14.0305,2.3296,39.6535,877780.9586,22:25:29.807384
062A_08046_131313,20190615.0000,-63.1032,9.5418,-11.3523,14.0305,2.3296,39.6523,877780.9586,22:25:25.247133
062A_13470_131313,20190504.0000,-72.6642,-44.6911,-18.4337,14.0670,2.3296,38.7786,887451.7439,23:49:42.920494
062A_13661_121313,20200721.0000,-71.7190,-46.6194,-19.0684,14.0656,2.3296,38.6848,887451.7439,23:49:20.924719
062A_13853_141313,20200721.0000,-70.7589,-48.4629,-19.7308,14.0631,2.3296,38.5967,887451.7439,23:48:49.201319
062D_04837_131313,20160916.0000,106.1298,41.6138,-169.9409,13.9495,2.3296,33.5954,879060.1618,23:01:34.115103
062D_05035_131313,20160916.0000,105.6643,39.6258,-169.9163,13.9569,2.3296,33.6829,879060.1618,23:02:07.221893
062D_05234_131313,20160916.0000,105.2039,37.6378,-169.8842,13.9608,2.3296,33.7239,879060.1618,23:02:40.319433
062D_05432_131313,20160916.0000,104.7540,35.6486,-169.8413,13.9653,2.3296,33.7635,879060.1618,23:03:13.414916
062D_05631_131313,20160916.0000,104.3153,33.6566,-169.7873,13.9734,2.3296,33.8382,879060.1618,23:03:46.509373
062D_05831_131313,20160916.0000,103.8898,31.6638,-169.7220,13.9762,2.3296,33.8731,879061.3266,23:04:19.605885
062D_06031_131313,20160916.0000,103.4774,29.6702,-169.6463,13.9788,2.3296,33.9061,879061.3266,23:04:52.702397
062D_06231_131313,20160916.0000,103.0684,27.6782,-169.5661,13.9878,2.3296,33.9658,879061.3266,23:05:25.801992
062D_06430_131313,20160916.0000,102.6438,25.6817,-169.4888,13.9928,2.3296,33.9923,879061.3266,23:05:58.900560
062D_06630_131313,20160904.0000,102.0867,22.8507,-169.3528,14.0024,2.3296,33.8775,877793.2130,23:06:45.258810
062D_07030_131313,20160904.0000,101.4622,19.6849,-169.1968,14.0057,2.3296,33.8955,877793.2130,23:07:37.666245
062D_07629_131313,20160904.0000,100.2566,13.6886,-168.8830,14.0185,2.3296,33.9303,877793.2130,23:09:16.960920
062D_08629_071113,20170303.0000,98.2692,3.9137,-168.2956,14.0378,2.3296,33.9073,877902.7024,23:11:55.602585
062D_08831_181512,20170303.0000,97.7708,1.5246,-168.1388,14.0421,2.3296,33.8832,877902.7024,23:12:35.110378
063A_07458_041304,20190505.0000,-88.9821,15.6728,-10.9950,14.0197,2.3296,39.7509,878643.0038,0:06:30.659585
063A_07559_161820,20200616.0000,-88.7266,14.2500,-11.0788,14.0209,2.3296,39.7544,878643.0038,0:06:16.162133
063A_07617_091113,20190505.0000,-88.6070,13.6681,-11.1116,14.0209,2.3296,39.7538,878643.0038,0:05:57.558962
063D_04846_131413,20210217.0000,81.3794,41.5266,-169.9710,13.9531,2.3296,39.4565,879619.4823,0:40:00.104027
063D_05053_141314,20160917.0000,80.9368,39.4501,-169.9176,13.9566,2.3296,33.7164,879345.0341,0:40:54.742264
063D_05260_131413,20160917.0000,80.4438,37.3822,-169.8921,13.9606,2.3296,33.7567,879345.0341,0:41:29.221138
063D_05405_202019,20200809.0000,80.1124,35.9193,-169.8608,13.9628,2.3296,39.5756,879532.1237,0:41:34.885721
063D_05433_161716,20200809.0000,80.0447,35.6425,-169.8569,13.9698,2.3296,39.5813,879532.1237,0:41:39.492222
063D_05462_131313,20160917.0000,79.9809,35.3666,-169.8517,13.9646,2.3296,33.7957,879345.0341,0:42:02.795567
063D_05661_131313,20160917.0000,79.5248,33.3754,-169.8065,13.9793,2.3296,33.8692,879345.0341,0:42:35.893107
063D_05860_131313,20160917.0000,79.1262,31.3786,-169.7246,13.9824,2.3296,33.9033,879347.3636,0:43:08.990646
063D_06060_131313,20160917.0000,78.7193,29.3800,-169.6441,13.9866,2.3296,33.9358,879347.3636,0:43:42.087158
063D_06265_141314,20160917.0000,78.4226,27.8551,-169.5736,13.9852,2.3296,33.9942,879347.3636,0:44:07.393112
064A_04019_131313,20190417.0000,-121.2659,49.8139,-10.1105,13.9335,2.3296,39.2925,879737.4579,1:54:00.190716
064A_04218_131313,20190417.0000,-120.7208,47.8329,-10.0592,13.9418,2.3296,39.3416,879735.1283,1:53:27.090092
064A_04610_141313,20190417.0000,-119.7389,43.9466,-10.0362,13.9495,2.3296,39.4368,879735.1283,1:52:22.266069
064A_05011_131313,20190417.0000,-118.7584,39.8919,-10.0610,13.9617,2.3296,39.5317,879735.1283,1:51:14.687599
064A_05211_131313,20190417.0000,-118.3092,37.9021,-10.1004,13.9658,2.3296,39.5760,879737.4579,1:50:41.589031
064A_05410_131313,20190417.0000,-117.8651,35.9117,-10.1469,13.9710,2.3296,39.6181,879737.4579,1:50:08.490464
064A_05774_011313,20190417.0000,-117.0076,31.9276,-10.2689,13.9738,2.3296,39.6952,879737.4579,1:49:02.291274
064D_04889_131313,20160917.0000,56.6511,41.0906,-169.9291,13.9490,2.3296,33.6301,879257.6755,2:19:11.994915
064D_05088_131313,20160917.0000,56.1889,39.1051,-169.9019,13.9527,2.3296,33.6718,879257.6755,2:19:45.092454
064D_05287_131313,20160917.0000,55.7098,37.1151,-169.8799,13.9616,2.3296,33.7518,879257.6755,2:20:18.186911
064D_05486_131313,20160917.0000,55.2855,35.1261,-169.8211,13.9657,2.3296,33.7898,879257.6755,2:20:51.284452
064D_05685_131313,20161222.0000,54.8466,33.1364,-169.7647,13.9687,2.3296,33.8224,879257.6755,2:21:23.429788
064D_05884_131313,20160917.0000,54.4116,31.1427,-169.7054,13.9776,2.3296,33.8942,879257.6755,2:21:57.477475
064D_06083_131313,20160917.0000,53.9977,29.1481,-169.6296,13.9829,2.3296,33.9255,879257.6755,2:22:30.577071
064D_06255_111008,20160917.0000,53.6633,27.5145,-169.5621,13.9864,2.3296,33.9545,879258.8403,2:22:57.671358
065A_02167_131313,20210313.0000,-153.1514,68.3236,-12.6615,13.8963,2.3296,39.1363,882635.9324,3:38:07.028542
065A_02559_131313,20201008.0000,-150.9085,64.4118,-11.4311,13.9034,2.3296,39.2166,882635.9324,3:37:04.698315
