,count,opass,centroid_lon,centroid_lat,VEL_N_noTI,VEL_E_noTI,RMSE_VEL_N_noTI,RMSE_VEL_E_noTI,VEL_N_noT,VEL_E_noT,RMSE_VEL_N_noT,RMSE_VEL_E_noT,ITRF_N,ITRF_E,ITRF_RMSE_E,ITRF_RMSE_N
0,3,"['D', 'D', 'A']",25.183699999999988,40.9549,7.563237335425355,30.740235679377435,1.5091295156653066,8.518266458861468,9.304336628572504,23.07628159144873,1.3944831623457006,7.871725474955149,13.773333333333332,24.11083333333333,0.1585783763609508,0.1168673222697121
1,2,"['A', 'D']",27.433699999999988,36.4549,-11.775737209293029,11.083743630676354,2.3656046684141625,13.276133590519994,-9.270050977406552,-7.371096950823615,2.3939684126339253,13.435307730411273,13.384,25.024799999999995,0.1256025477448606,0.1238951169336386
2,2,"['D', 'A']",27.433699999999988,38.7049,8.165790646512233,-28.128228362976365,3.493637574781423,19.681570084881205,8.79844316900198,-27.06393796938909,3.401967669362653,19.165196413228934,13.382,24.7708,0.1371106609032771,0.1227124008946664
3,4,"['A', 'A', 'D', 'D']",29.683699999999988,36.4549,8.336093841961109,-16.34584516219534,4.05868339684624,22.73993884418487,7.348563854776423,-12.430399066674754,3.970599421709696,22.24869313183725,11.4492,22.2648,8.39199177787967,4.316898886932609
4,2,"['D', 'A']",29.683699999999988,40.9549,13.797054984112744,-27.52152973738362,4.797857821025995,27.045715712423696,12.342699610218316,-23.300156289051813,4.539277784202129,25.585817055223043,12.99,24.7952,0.1438784208976457,0.1299038105676656
5,2,"['D', 'A']",31.933699999999988,38.7049,5.676423581751035,-5.451941088343636,2.81266955835398,15.813059180718334,6.944226333190168,-16.63176193556544,2.775477651384055,15.603643987012676,12.568,25.402800000000003,0.1263434472644572,0.1371434771811377
6,2,"['A', 'D']",34.18369999999999,34.2049,3.2786203685194435,93.57375211428722,4.723152942294481,26.0001133972394,3.244613802672606,98.54880276966124,4.817324352477861,26.509445542536326,2.934400000000001,6.2336,11.321550939101352,5.329727228792608
7,2,"['A', 'D']",34.18369999999999,38.7049,15.28606791135879,28.68242547502408,2.4455669253556094,13.755704837495914,15.19349165642186,31.696875274805706,2.3055727216334807,12.968021975739848,12.139999999999995,25.696400000000004,0.1207918319534338,0.1443375672974067
8,2,"['D', 'A']",34.18369999999999,40.9549,3.810352971640568,-40.39306640648688,4.226209823136877,23.794595899839678,4.1656276980039,-40.15656667915399,4.150018577043061,23.36495003548152,12.139999999999995,25.4388,0.1337073919671858,0.1443375672974067
9,3,"['A', 'D', 'D']",38.68369999999999,34.2049,16.351036610943897,56.33289150225288,3.1736867114636693,17.669483467928288,16.373687717134054,58.59567262484733,3.1277633568554086,17.414218168757284,25.4748,22.9856,0.6038148170866078,0.3187360454461755
10,2,"['D', 'A']",38.68369999999999,36.4549,20.207757642252837,12.23798279333802,3.4660586460327703,19.46116494548165,20.105192872707327,15.238969747956912,3.335308629646973,18.72687894031687,25.469999999999995,21.13,0.6173329733620263,0.317542648054294
11,2,"['D', 'A']",38.68369999999999,38.7049,1.7575446736895697,0.4376589342673591,7.710490780472629,43.41836940763166,1.6082213636240716,-0.5624251410456157,7.296244821377603,41.08617190225264,16.4128,23.9732,3.049142939690868,7.029853910288606
12,2,"['D', 'A']",40.93369999999999,31.9549,20.15525658688919,80.66907346979623,4.664378871547531,25.878974300289368,20.71300386948861,79.6423324058443,4.840368518769041,26.855385180472496,26.47,25.2736,0.5806740336310324,0.3039873900893476
13,2,"['A', 'D']",40.93369999999999,34.2049,14.620378519333004,7.347990096894806,2.66687411321192,14.86117773576112,17.7880667643612,-9.76303548292498,2.616779657768192,14.582254025013702,26.468,23.5668,0.595222087403797,0.3060092591191756
14,4,"['A', 'A', 'A', 'D']",40.93369999999999,38.7049,21.66386134416797,61.70200131678296,1.0938213659800708,6.156226882078255,23.21390536625243,59.014661030669565,1.043051324804385,5.870601965250562,22.7064,21.7124,2.7419325301691866,6.864669741995362
15,2,"['D', 'A']",40.93369999999999,43.2049,10.37787975476763,39.33322687372373,1.6283914818508487,9.196170979947508,12.07969875197817,37.67182993157406,1.595898757879258,9.01256925585026,10.71,26.0748,0.1264291633023543,0.158771324027147
16,2,"['A', 'D']",43.18369999999999,31.9549,24.747741412665217,57.66783759131826,2.1749804891363307,12.022841551837107,25.16623048104725,56.100478650209865,1.962957134782766,10.852093054855803,27.3816,25.8156,0.5723058622799525,0.2918858224260531
17,3,"['D', 'A', 'D']",43.18369999999999,34.2049,20.567695091742152,69.62880261075962,1.1445482432198313,6.364555881252372,24.71443136994108,51.46851365909209,1.1107185559216812,6.1762636294433335,27.378,24.1424,0.5881204525151853,0.2915761764387943
18,3,"['D', 'A', 'A']",43.18369999999999,36.4549,21.43766743353434,61.90673674221023,2.73541975478604,15.338296003137865,20.977481531278297,68.88674221009137,2.658139466458095,14.904619863092613,27.3764,22.3544,0.6018587874244254,0.2927296819023769
19,2,"['D', 'A']",43.18369999999999,38.7049,14.593661923032334,53.92532129314659,2.4027940145312945,13.530949562341826,14.784019381995812,59.4650529084913,2.3310979144954564,13.127156168930954,18.364,23.984,2.9909669562423007,8.721900117902445
20,3,"['D', 'A', 'A']",43.18369999999999,40.9549,11.55797629427502,36.98884596324413,1.5053525771982186,8.499274977138326,13.111056829772249,34.72877873514271,1.48911280867747,8.407403277018446,10.2172,26.5832,0.109761863443851,0.1648615580823294
21,3,"['D', 'A', 'D']",43.18369999999999,43.2049,7.402264886614691,48.05268890050167,1.634607607978926,9.222722560071364,8.7488108505714,46.20901506347277,1.6381063534399083,9.2424294404731,10.216,26.348,0.1204851304795184,0.1631206097748941
