frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,slope_plates_vel_azi_itrf2014,slope_daz_mm_mmyear,daz_mm_RMSE_selection,daz_mm_count_selection,intercept_daz_mm_mmyear,daz_mm_RMSE_mmy_full,daz_mm_notide_RMSE_selection,daz_mm_notide_count_selection,slope_daz_mm_notide_mmyear,intercept_daz_mm_notide_mmyear,daz_mm_notide_RMSE_mmy_full,daz_mm_notide_noiono_grad_RMSE_selection,daz_mm_notide_noiono_grad_count_selection,slope_daz_mm_notide_noiono_grad_mmyear,intercept_daz_mm_notide_noiono_grad_mmyear,daz_mm_notide_noiono_grad_RMSE_mmy_full
005D_05996_131313,20181126,70.6437,30.0213,-169.6584,13.9794,2.3296,39.6457,879151.6803,1:16:38.537840,A,-39.06124355346076,-33.13465153405063,21.273705167491432,75,157.10362892478597,2.759321693842756,19.15600101039367,75,-32.38216049386683,154.38492103311046,2.6541580099362165,18.76240783934565,74,-31.97439559962246,154.75553548948088,2.630986313920816
005D_06196_131313,20181126,70.2353,28.0261,-169.5783,13.9832,2.3296,39.6771,879151.6803,1:17:11.632297,A,-39.20123907100872,-32.77942600809567,13.9762964667386,63,158.98154378150505,2.5879733874851363,16.89560786270535,70,-31.086977089724737,153.06803790709534,2.3429234175264404,16.34975635208433,70,-31.92653470770816,160.68288603798942,2.3062309734192312
005D_06395_131313,20181126,69.8263,26.0302,-169.495,13.987,2.3296,39.7052,879151.6803,1:17:44.732920,A,-39.33940987245258,-41.59288673745571,32.87743013739894,56,207.7934689521996,7.914881111107395,27.273712634125687,53,-40.55381151650317,197.74359732437117,7.8006806593977585,27.10688238549924,53,-40.76516193852162,202.81279756265965,7.76795591430811
005D_06595_131313,20181126,69.4178,24.0341,-169.4081,13.9942,2.3296,39.7298,879151.6803,1:18:17.832515,A,-39.44956833798665,2.371123755036565,37.67750114355837,18,29.25206119368913,57.2735130590637,27.424839061051426,17,2.11427831899786,55.53281283170599,53.81199470727994,25.45046960061336,17,2.0793765731898746,62.374343910743775,53.76746771883311
006A_03658_131313,20190507,-130.5048,53.4151,-10.2318,13.9258,2.3296,39.3495,881317.7331,2:27:56.178070,B,-9.935177281406183,5.079569619872538,34.63906827547953,28,-165.74250505438806,23.93558679905964,35.83086272967001,28,4.649664859517974,-281.6324365926074,23.46257053586412,35.7615452071358,28,4.809603328148739,-284.4739228060156,23.5672698393548
006D_04865_111625,20200730,48.5704,41.7303,-169.9378,13.9495,2.3296,39.4427,879536.8901,2:52:18.968065,A,-13.535357098611591,-11.354939254986544,14.871318932498465,17,145.11178765525287,4.338178694581308,22.48365151088502,23,-9.5365537430986,215.32572641328204,3.699024239523906,22.10875242773363,23,-9.071748780058371,211.6740240876213,3.611793090836766
006D_05111_131313,20181126,47.8735,38.8624,-169.9161,13.954,2.3296,39.5012,879536.8901,2:52:56.240071,A,-13.743068432314544,-29.30653710797715,19.753518142008545,88,83.06395359238883,1.9792323623070087,19.765934134729555,96,-28.427556739500226,37.02547331336257,1.8530281180187371,20.271042834626076,97,-27.46614505494479,33.73995502809103,1.8527469047143348
006D_05310_131313,20181126,47.4281,36.8723,-169.8721,13.9636,2.3296,39.5438,879536.8901,2:53:29.341722,A,-13.876159084588751,-25.966301590794707,25.55960424166872,111,62.81065023075196,5.396178862811918,22.391280347755277,111,-26.359416442383708,16.89161053153761,5.375632663818641,21.851654097167486,108,-25.0925212195968,12.961407661983792,5.350880435198826
006D_05509_131313,20181126,46.9894,34.8813,-169.8211,13.9674,2.3296,39.5844,879536.8901,2:54:02.447483,A,-21.41607239423402,-8.220992982024436,22.33856911901003,137,-23.26098782107966,2.048982593421507,21.47958149151945,141,-8.187163378036995,-87.25954536817608,1.9468380936645584,22.329082658959383,142,-7.549675662669608,-88.18891983639845,1.9532620606789743
006D_05713_141313,20171219,46.5594,32.8338,-169.7525,13.9736,2.3296,39.5615,878872.6913,2:53:47.250359,B,-32.880816054690094,-24.941213609949536,19.91336639134904,47,36.26369636848034,2.537200018556016,13.67932556743856,42,-26.707551816769872,-17.15420726858542,2.289947057238651,15.997206246688766,44,-25.802012084786814,-19.333776305164218,2.348057956414876
